City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Magadi,IN,12.9667,77.2333,68.79,84,94,9.55,overcast clouds
80,Carnarvon,AU,-24.8667,113.6333,70.9,65,100,9.1,overcast clouds
81,Barrow,US,71.2906,-156.7887,23.02,86,100,9.22,mist
82,Mpika,ZM,-11.8343,31.4529,61.52,88,100,3.96,overcast clouds
83,Gotsu,JP,35.0,132.2167,60.28,75,0,5.68,clear sky
84,Axim,GH,4.8699,-2.2405,76.68,90,100,9.86,moderate rain
85,Dwarka,IN,22.2394,68.9678,82.35,83,4,23.58,clear sky
86,Hajnowka,PL,52.7433,23.5812,49.82,81,78,13.09,broken clouds
87,Manggar,ID,-2.8833,108.2667,78.93,84,91,0.92,overcast clouds
88,Jiazi,CN,22.8779,116.067,72.45,89,100,13.11,overcast clouds
89,Mahates,CO,10.2329,-75.1899,89.49,48,23,3.65,few clouds
90,Qaanaaq,GL,77.484,-69.3632,19.63,82,100,2.19,overcast clouds
91,Dudinka,RU,69.4058,86.1778,42.62,93,100,2.95,overcast clouds
92,Mwene-Ditu,CD,-7.0,23.45,67.68,90,96,3.47,light rain
93,Dongsheng,CN,39.8161,109.9776,59.85,45,25,2.95,scattered clouds
94,Corn Island,NI,12.1694,-83.0418,82.96,72,99,8.59,heavy intensity rain
95,Nasice,HR,45.4886,18.0878,61.41,84,99,11.74,light rain
96,Grosse Pointe Woods,US,42.4436,-82.9069,77.05,64,75,19.57,broken clouds
97,Wanning,CN,18.8003,110.3967,77.43,90,92,3.11,overcast clouds
98,Vaini,TO,-21.2,-175.2,77.16,83,40,4.61,scattered clouds
99,Sitka,US,57.0531,-135.33,60.69,59,0,4.61,clear sky
100,Mandalgovi,MN,45.7625,106.2708,55.65,60,53,10.8,broken clouds
101,Tasiilaq,GL,65.6145,-37.6368,37.15,72,100,5.03,overcast clouds
102,Forestville,US,38.8451,-76.875,94.53,48,0,10.36,clear sky
103,Staryy Nadym,RU,65.6118,72.6842,33.44,86,100,14.36,overcast clouds
104,Masuda,JP,34.6667,131.85,60.96,74,0,5.08,clear sky
105,Port Moresby,PG,-9.4431,147.1797,74.62,94,20,2.3,few clouds
106,Port Shepstone,ZA,-30.7414,30.455,65.79,74,100,18.95,light rain
107,Butaritari,KI,3.0707,172.7902,80.87,80,99,10.49,light rain
108,Keti Bandar,PK,24.1447,67.4497,81.61,89,43,22.3,scattered clouds
109,Laurens,US,32.4502,-82.9165,88.23,45,0,8.05,clear sky
110,Port-Cartier,CA,50.0334,-66.8654,46.62,99,100,5.5,moderate rain
111,Sembe,CG,1.6481,14.5806,70.61,93,99,3.11,overcast clouds
112,Schleiden,DE,50.5295,6.477,56.23,78,54,2.42,broken clouds
113,Sao Filipe,CV,14.8961,-24.4956,73.08,79,37,11.23,scattered clouds
114,Kapaa,US,22.0752,-159.319,81.48,89,40,6.91,scattered clouds
115,Chokurdakh,RU,70.6333,147.9167,33.48,100,100,4.65,overcast clouds
116,La Rioja,ES,42.25,-2.5,67.78,45,72,8.28,broken clouds
117,Kondinskoye,RU,59.6481,67.41,47.03,91,100,18.32,overcast clouds
118,Senhor Do Bonfim,BR,-10.4614,-40.1894,71.33,72,83,10.58,broken clouds
119,Touros,BR,-5.1989,-35.4608,79.25,79,16,11.74,few clouds
120,Ciudad Bolivar,VE,8.1222,-63.5497,94.1,31,16,13.31,few clouds
