City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
200,Mwinilunga,ZM,61.32,scattered clouds,-11.7358,24.4293,Kwakuwahi Lodge
202,Tabuk,PH,73.0,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
203,Lagoa,PT,63.66,overcast clouds,39.05,-27.9833,Casa Das Faias
207,Clarence Town,AU,60.85,overcast clouds,-32.5833,151.7833,River Downs Cottage
213,Wiarton,CA,65.5,broken clouds,44.7407,-81.1332,Waterview On The Bay
215,Gairo,IT,63.61,clear sky,39.8497,9.5047,La Nuova Luna
216,Saint-Philippe,RE,71.19,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
217,Ivanivka,UA,61.34,overcast clouds,46.7208,34.553,Спорт Лото
219,Bergama,TR,63.79,clear sky,39.1207,27.1805,Anil Hotel
220,Tumbes,PE,76.95,broken clouds,-3.5667,-80.4414,Wyndham Costa del Sol Tumbes
221,Nampula,MZ,69.75,clear sky,-15.1165,39.2666,Ruby Backpackers
224,Pilar,BR,75.13,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
229,Mindelo,CV,74.75,broken clouds,16.8901,-24.9804,Hotel Gaudi
232,Ribeira Grande,PT,64.8,mist,38.5167,-28.7,Quinta da Meia Eira
233,Huangchuan,CN,66.96,overcast clouds,32.1272,115.0394,Guangzhou International Hotel
235,Ardakan,IR,69.85,clear sky,32.31,54.0175,Ardakan Hotel
237,Camana,PE,66.76,overcast clouds,-16.6228,-72.7111,Hostal Morales
238,Lasa,IT,65.28,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
240,Los Llanos De Aridane,ES,65.95,broken clouds,28.6585,-17.9182,Valle Aridane
247,Issenye,TZ,64.35,overcast clouds,-2.0,34.3333,
248,Seoul,KR,61.99,mist,37.5683,126.9778,롯데호텔 서울
252,Dilla,ET,63.46,overcast clouds,6.41,38.31,Afomiya Pension
254,Presidencia Roque Saenz Pena,AR,65.84,few clouds,-26.7852,-60.4388,Hotel Gualok
256,Puerto Del Rosario,ES,69.55,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
257,Astoria,US,67.71,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
259,Tsiroanomandidy,MG,60.78,clear sky,-18.7667,46.0333,Hotel Ravinala
263,Camacha,PT,63.82,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
264,Lompoc,US,76.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
265,Vila Velha,BR,73.35,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
273,Jalu,LY,69.62,clear sky,29.0331,21.5482,صاحبة الفخامة
275,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
278,Solwezi,ZM,61.25,scattered clouds,-12.1688,26.3894,Country Lodge Solwezi
279,Pacific Grove,US,71.28,clear sky,36.6177,-121.9166,Lovers Point Inn
280,Popondetta,PG,73.29,scattered clouds,-8.7537,148.2534,Timos Transit House
282,Taltal,CL,63.9,few clouds,-25.4,-70.4833,Residencial Karime
285,Torbay,CA,63.37,few clouds,47.6666,-52.7314,Gallows Cove
288,Bengkulu,ID,75.56,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
292,Antofagasta,CL,61.88,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
298,Chake Chake,TZ,76.84,overcast clouds,-5.2459,39.7666,Hotel Archipelago
300,Paita,PE,71.08,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
305,Madimba,TZ,72.57,scattered clouds,-10.4,40.3333,
309,Sibolga,ID,76.66,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
310,Nelson Bay,AU,61.0,broken clouds,-32.7167,152.15,Mantra Nelson Bay
311,Lundazi,ZM,62.58,few clouds,-12.2929,33.1782,Knox Lodge
314,Naron,ES,72.45,light rain,43.5167,-8.1528,Marcial
317,Vila Franca Do Campo,PT,64.81,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
319,Chikwawa,MW,75.83,broken clouds,-16.0335,34.8009,Thawale Lodge
321,Gladstone,AU,66.13,overcast clouds,-23.85,151.25,Highpoint International Hotel
322,Yambio,SS,67.64,overcast clouds,4.5721,28.3955,Naivasha Hotel
325,Farafangana,MG,67.24,clear sky,-22.8167,47.8333,Miarina
328,Oropesa,PE,67.86,scattered clouds,-13.5928,-71.7719,Posada Che Jamaica
335,Nouadhibou,MR,67.98,sand,20.931,-17.0347,El Medina
336,Amapa,BR,74.28,broken clouds,1.0,-52.0,
349,Kashi,CN,63.61,broken clouds,39.4547,75.9797,帕米尔青年旅舍
352,Wuwei,CN,62.69,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
354,Bembereke,BJ,75.22,light rain,10.2283,2.6634,Hotel Bio Guera
357,Fukue,JP,67.21,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
364,Grand Gaube,MU,73.8,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
366,Guerrero Negro,MX,72.45,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
372,Ouesso,CG,72.75,overcast clouds,1.6136,16.0517,ABENIE Hotel
379,Kasongo-Lunda,CD,76.01,overcast clouds,-6.4667,16.8167,
380,Suez,EG,70.14,clear sky,29.9737,32.5263,Green House
382,Kango,GA,74.34,moderate rain,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
387,Ekibastuz,KZ,69.6,overcast clouds,51.6667,75.3667,
391,Ebolowa,CM,70.52,overcast clouds,2.9,11.15,Florence Hotel Ebolowa
392,Banjar,ID,75.09,few clouds,-8.19,114.9675,The Hamsa Resort
395,Hangu,CN,75.24,clear sky,39.2489,117.7892,Chongli Xuexiang Family Express Inn
399,Bonito,BR,64.74,clear sky,-21.1211,-56.4819,Marruá Hotel
401,Hualmay,PE,67.42,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
403,Aviles,ES,68.38,scattered clouds,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
406,Zhicheng,CN,64.72,overcast clouds,30.2956,111.5047,Wangjiang Building
407,Wenling,CN,62.13,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
409,Moron,AR,69.69,clear sky,-34.6534,-58.6198,Hotel Morón
411,Xam Nua,LA,68.13,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
421,Catamarca,AR,69.58,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
423,Serenje,ZM,60.17,scattered clouds,-13.2325,30.2352,The Kabaso's
430,Pavlodar,KZ,67.8,clear sky,52.3,76.95,Sary Arka
432,Amudat,UG,71.47,overcast clouds,1.95,34.95,Silent Night Hotel
434,Bandar,ID,74.37,overcast clouds,2.05,99.75,
444,Paracatu,BR,62.92,few clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
445,Ambanja,MG,73.92,scattered clouds,-13.6833,48.45,Hotel Salama and Fast Food
446,Gorontalo,ID,75.43,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
447,Puerto Madryn,AR,61.97,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
448,Yatou,CN,61.02,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
449,Ubinskoye,RU,61.05,broken clouds,55.3068,79.6802,Gostinitsa Siberia
451,Neiafu,TO,75.88,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
452,Nishihara,JP,70.88,mist,26.1842,127.7558,Minshuku Agaihama
454,Boyolangu,ID,75.11,overcast clouds,-8.1181,111.8935,Yos ega cv
461,Madison Heights,US,75.15,clear sky,42.4859,-83.1052,Red Roof Inn Detroit - Warren
463,Awbari,LY,74.39,clear sky,26.5921,12.7805,فندق أوباري
466,Bushenyi,UG,61.23,overcast clouds,-0.5853,30.2114,College View Guest House
471,Seydi,TM,64.85,broken clouds,39.4816,62.9137,Seydi oteli
472,Alto Araguaia,BR,64.15,few clouds,-17.3147,-53.2153,Araguaia Palace Hotel
474,Mkushi,ZM,60.76,few clouds,-13.6202,29.3939,Mkushi Police Club
476,Gambela,ET,75.25,light rain,8.25,34.5833,Solomon Debebe Hotel
477,Fairbanks,US,72.61,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
478,Sao Joao Da Barra,BR,73.49,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
480,Maceio,BR,76.44,mist,-9.6658,-35.7353,Hotel Ponta Verde Maceió
485,Ilo,PE,65.26,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
486,Chiredzi,ZW,63.57,light rain,-21.05,31.6667,Clevers Hotel Chiredzi
490,Nueva Loja,EC,75.22,broken clouds,0.0847,-76.8828,Limoncocha Great Hotel
499,Omboue,GA,76.46,overcast clouds,-1.5746,9.2618,Hotel Olako
501,Namuac,PH,76.93,broken clouds,18.6109,121.1657,Mlin Hotel
504,Breves,BR,76.28,broken clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
506,Ilam,NP,63.25,clear sky,26.9167,87.9167,चियाबारी कटेज
507,Asau,RO,67.12,clear sky,46.4333,26.4,Casa Mika Ciobanus
508,Port Hedland,AU,73.45,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
512,Dhali,IN,74.41,broken clouds,10.5,77.1667,NANDHA farms
513,Kaseda,JP,64.29,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
514,Tura,IN,70.12,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
519,Marsala,IT,64.35,clear sky,37.7966,12.4352,Villa Favorita Hotel e Resort
521,Malanje,AO,67.93,broken clouds,-9.5402,16.341,Hotel Ginga
524,Kijang,KR,60.53,clear sky,35.2442,129.2139,Samyang Beach Villa
525,Burns Lake,CA,60.22,few clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
529,San Andres,CO,75.22,moderate rain,12.5847,-81.7006,Hotel Arena Blanca
532,Tingi,TZ,60.55,few clouds,-11.3,35.0333,
534,Gamba,GA,76.35,overcast clouds,-2.65,10.0,
535,Salamanca,ES,76.78,scattered clouds,40.8333,-6.0,Palacio Carrascalino
537,Chissamba,AO,61.83,scattered clouds,-12.1667,17.3333,
541,Hami,CN,74.91,clear sky,42.8,93.45,Laoyutang Resort
542,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
543,Carcassonne,FR,74.43,clear sky,43.25,2.1667,Domaine les Magasins
