City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Rumoi,JP,2022-05-21 01:37:02,43.9344,141.6428,66.87,55,100,6.06
67,Zaysan,KZ,2022-05-21 01:37:03,47.4667,84.8667,70.93,39,0,4.74
68,Magistralnyy,RU,2022-05-21 01:37:03,56.1725,107.4458,61.92,71,100,2.19
69,Razdolinsk,RU,2022-05-21 01:37:04,58.4211,94.6658,58.95,51,94,5.46
70,Evensk,RU,2022-05-21 01:37:04,61.95,159.2333,45.79,65,82,15.23
71,Kubinka,RU,2022-05-21 01:37:04,55.5839,36.69,41.11,77,100,4.43
72,Beloha,MG,2022-05-21 01:37:05,-25.1667,45.05,66.15,46,95,2.82
73,Bow Island,CA,2022-05-21 01:37:05,49.8668,-111.3684,49.26,43,88,12.66
74,Katsuura,JP,2022-05-21 01:37:06,35.1333,140.3,69.82,78,100,12.19
75,Mataura,NZ,2022-05-21 01:37:06,-46.1927,168.8643,43.88,90,99,14.76
76,Palmer,US,2022-05-21 01:35:52,42.1584,-72.3287,66.24,79,75,4.61
77,Juruti,BR,2022-05-21 01:37:07,-2.1522,-56.0922,71.08,95,99,0.98
78,Atuona,PF,2022-05-21 01:37:07,-9.8,-139.0333,77.65,66,0,7.74
79,Lagoa,PT,2022-05-21 01:37:08,39.05,-27.9833,62.04,97,100,12.73
80,Bamako,ML,2022-05-21 01:37:08,12.65,-8.0,87.67,32,17,8.3
81,Semme,FR,2022-05-21 01:37:08,46.1963,1.5007,61.21,97,17,0.78
82,Owando,CG,2022-05-21 01:37:09,-0.4819,15.8999,71.64,98,100,3.91
83,Georgetown,MY,2022-05-21 01:34:42,5.4112,100.3354,85.95,83,20,3.44
84,Hobart,AU,2022-05-21 01:34:09,-42.8794,147.3294,52.27,81,40,10.36
85,Puerto Ayora,EC,2022-05-21 01:37:10,-0.7393,-90.3518,72.55,97,4,3.0
86,Yellowknife,CA,2022-05-21 01:37:10,62.456,-114.3525,57.72,26,75,11.5
87,Oranjemund,NA,2022-05-21 01:37:11,-28.55,16.4333,51.1,87,7,3.24
88,Cherskiy,RU,2022-05-21 01:37:11,68.75,161.3,57.74,37,12,13.49
89,Mongo,TD,2022-05-21 01:37:11,12.1844,18.693,84.72,15,22,3.15
90,Norman Wells,CA,2022-05-21 01:37:12,65.282,-126.8329,62.64,25,75,8.05
91,Najran,SA,2022-05-21 01:38:12,17.4924,44.1277,72.25,16,53,2.57
92,Alihe,CN,2022-05-21 01:38:13,50.5667,123.7167,66.06,28,41,8.41
93,Buffalo,US,2022-05-21 01:33:22,42.8865,-78.8784,75.36,76,75,9.22
94,Bluff,NZ,2022-05-21 01:38:13,-46.6,168.3333,46.9,76,98,35.81
95,Narsaq,GL,2022-05-21 01:38:14,60.9167,-46.05,43.02,74,8,1.34
96,Faya,SA,2022-05-21 01:38:14,18.3851,42.4509,64.92,17,2,7.92
97,Isangel,VU,2022-05-21 01:37:47,-19.55,169.2667,80.71,74,40,19.57
